movie_name,Release_year,Run_Time,Rating,Certification
Incendies,1987,2h 50m,8.3 (192K),U
Heat,1971,1h 36m,8.3 (701K),UA
Up,2010,2h 9m,8.3 (1.1M),U
To Kill a Mockingbird,18,2h 40m,8.3 (328K),A
Hamilton,1995,2h 9m,8.3 (108K),A
The Sting,2009,2h 3m,8.3 (275K),R
Jodaeiye Nader Az Simin,1962,2h 7m,8.3 (255K),UA
Indiana Jones and the Last Crusade,2020,2h 33m,8.2 (797K),U
Metropolis,1973,2h 12m,8.3 (182K),U
Die Hard,2011,2h 42m,8.2 (919K),UA
Taare Zameen Par,7,1h 44m,8.3 (203K),UA
Snatch,1989,1h 29m,8.2 (893K),U
Ladri Di Biciclette,1927,2h 18m,8.3 (172K),Passed
L.A. Confidential,1988,1h 54m,8.2 (605K),A
Taxi Driver,2007,1h 59m,8.2 (896K),UA
1917,2000,2h 36m,8.2 (651K),UA
Der Untergang,1948,2h 41m,8.2 (369K),Passed
Dangal,1997,2h 12m,8.3 (204K),A
Per qualche dollaro in più,1976,2h 20m,8.2 (269K),U
Batman Begins,2019,2h 10m,8.2 (1.5M),A
Top Gun: Maverick,2004,2h 1m,8.3 (643K),A
Some Like It Hot,2016,1h 8m,8.2 (279K),A
The Kid,1965,1h 37m,8.2 (132K),R
The Wolf of Wall Street,2005,2h 10m,8.2 (1.5M),UA
The Father,2022,2h 18m,8.2 (181K),A
Green Book,1959,2h 59m,8.2 (543K),A
All About Eve,1921,1h 43m,8.2 (137K),UA
Judgment at Nuremberg,2013,2h 38m,8.3 (83K),Passed
The Truman Show,2020,2h 58m,8.2 (1.2M),U
There Will Be Blood,2018,2h 18m,8.2 (626K),A
Casino,1950,2h 40m,8.2 (551K),A
Shutter Island,1961,1h 58m,8.2 (1.4M),U
Ran,1998,2h 7m,8.2 (133K),U
El Laberinto Del Fauno,2007,1h 47m,8.2 (693K),U
Jurassic Park,1995,2h 10m,8.2 (1M),U
The Sixth Sense,2010,2h 15m,8.2 (1M),UA
Unforgiven,1985,2h 2m,8.2 (429K),UA
A Beautiful Mind,2006,2h 6m,8.2 (970K),U
No Country for Old Men,1993,1h 50m,8.2 (1M),A
The Treasure of the Sierra Madre,1999,1h 51m,8.2 (131K),U
Yôjinbô,1992,1h 49m,8.2 (129K),UA
Kill Bill: Vol. 1,2001,1h 31m,8.2 (1.2M),A
The Thing,2007,2h 52m,8.2 (455K),A
Monty Python and the Holy Grail,18,1h 40m,8.2 (562K),A
The Great Escape,1948,1h 28m,8.2 (255K),R
Finding Nemo,1961,2h 4m,8.2 (1.1M),U
Rashōmon,2003,2h 10m,8.2 (177K),UA
The Elephant Man,1982,1h 59m,8.2 (254K),A
Chinatown,1975,1h 45m,8.2 (343K),A
Hauru No Ugoku Shiro,1963,3h 58m,8.2 (431K),U
Dial M for Murder,2003,2h 12m,8.2 (185K),A
Gone with the Wind,1950,2h 33m,8.2 (329K),UA
V for Vendetta,1980,2h 9m,8.2 (1.2M),A
Prisoners,1974,1h 47m,8.1 (781K),UA
Raging Bull,2004,2h 9m,8.1 (372K),U
"Lock, Stock and Two Smoking Barrels",1954,1h 35m,8.1 (607K),UA
El Secreto De Sus Ojos,1939,2h 28m,8.2 (219K),UA
Inside Out,2005,1h 55m,8.1 (763K),PG
Spider-Man: No Way Home,2013,1h 33m,8.2 (845K),UA
"Three Billboards Outside Ebbing, Missouri",1980,2h 41m,8.1 (541K),A
Trainspotting,1998,1h 38m,8.1 (714K),UA
The Bridge on the River Kwai,2009,2h 20m,8.1 (230K),U
Fargo,2015,2h 21m,8.1 (709K),Passed
Warrior,2021,1h 56m,8.1 (490K),A
Catch Me If You Can,2017,1h 26m,8.1 (1.1M),U
Gran Torino,1996,1h 36m,8.1 (803K),A
My Neighbour Totoro,1957,2h 12m,8.1 (366K),UA
Klaus,1996,2h 10m,8.2 (175K),A
Million Dollar Baby,2011,1h 29m,8.1 (711K),UA
Harry Potter and the Deathly Hallows: Part 2,2002,1h 57m,8.1 (926K),Passed
Bacheha-Ye Aseman,2008,2h 14m,8.2 (79K),A
Blade Runner,1988,1h 41m,8.1 (807K),U
12 Years a Slave,2019,1h 39m,8.1 (730K),U
Before Sunrise,7,3h 32m,8.1 (331K),U
The Grand Budapest Hotel,2004,1h 35m,8.1 (867K),U
Ben-Hur,2011,2h 29m,8.1 (249K),Passed
The Gold Rush,1997,3h 5m,8.1 (117K),UA
Gone Girl,1982,2h 19m,8.1 (1M),U
Barry Lyndon,2013,2h 13m,8.1 (179K),U
Hacksaw Ridge,1995,1h 48m,8.1 (575K),A
In the Name of the Father,16,2h 11m,8.1 (184K),U
On the Waterfront,2014,1h 18m,8.1 (162K),U
Salinui Chueok,1959,3h 3m,8.1 (207K),UA
The General,1925,1h 31m,8.1 (96K),A
The Deer Hunter,2014,2h 2m,8.1 (355K),U
Smultronstället,1975,1h 44m,8.1 (113K),UA
Relatos Salvajes,2016,2h 8m,8.1 (211K),U
The Third Man,1993,2h 11m,8.1 (179K),U
Dead Poets Society,1954,1h 32m,8.1 (528K),U
Le Salaire De La Peur,2003,2h 9m,8.2 (65K),UA
Sherlock Jr.,1926,2h 4m,8.2 (55K),A
Mad Max: Fury Road,1978,1h 38m,8.1 (1.1M),A
"Monsters, Inc.",1957,1h 32m,8.1 (958K),UA
